"name","price","capacity","price_per_gb","type","cache","form_factor","interface"
"Transcend 830S",61.99,512,0.121,"SSD",NA,"M.2-2280","M.2 SATA"
"OWC Mercury Electra 6G",118.99,1000,0.119,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"OWC Mercury Electra 6G",199.99,2000,0.1,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Lenovo S4520",632.71,1920,0.33,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"AGI AI818",266.07,2000,0.133,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"AGI AI198",218.49,1000,0.218,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"Inland TN446",54.99,512,0.107,"SSD",NA,"M.2-2230","M.2 PCIe 4.0 X4"
"Patriot VP4000 Mini",79.98,1000,0.08,"SSD",NA,"M.2-2230","M.2 PCIe 4.0 X4"
"Intel DC P3700",118.74,400,0.297,"SSD",NA,"2.5","U.2"
"Seagate FireCuda 520N",118,1000,0.118,"SSD",NA,"M.2-2230","M.2 PCIe 4.0 X4"
"Patriot VP4000 Mini",174.99,2000,0.087,"SSD",NA,"M.2-2230","M.2 PCIe 4.0 X4"
"Samsung Spinpoint M5",33.95,160,0.212,"5400",8,"2.5","PATA 44-Pin 100"
"Seagate Nytro Enterprise",699,1920,0.364,"SSD",NA,"2.5","SAS 12.0 Gb/s"
"Intel DC S3710",192.88,800,0.241,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"KingSpec NX-2230",44.99,512,0.088,"SSD",NA,"M.2-2230","M.2 PCIe 3.0 X4"
"Lexar PLAY",89.99,1000,0.09,"SSD",NA,"M.2-2230","M.2 PCIe 4.0 X4"
"Toshiba MKx001GRZB",385,100,3.85,"SSD",NA,"2.5","SAS 6.0 Gb/s"
"Seagate ST500LT032",61.69,500,0.123,"5400",16,"2.5","SATA 6.0 Gb/s"
"Transcend TS256GMSA370",477.25,256,1.864,"SSD",NA,"mSATA","mSATA"
"Intel 535",159,120,1.325,"SSD",NA,"M.2-2280","M.2 SATA"
"Seagate Enterprise",375.62,8000,0.047,"7200",256,"3.5","SAS 12.0 Gb/s"
"Seagate Enterprise Performance",131.32,300,0.438,"15000",256,"2.5","SAS 12.0 Gb/s"
"Toshiba S300",107.99,4000,0.027,"5400",128,"3.5","SATA 6.0 Gb/s"
"Lenovo 5300",587.6,960,0.612,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"VisionTek PRO",49.99,250,0.2,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"VisionTek PRO HXS",255.08,2000,0.128,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Silicon Power XD80",284.41,1000,0.284,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"VisionTek PRO",136.99,1000,0.137,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Western Digital Ultrastar DC HC550",636.99,16000,0.04,"7200",512,"3.5","SAS 12.0 Gb/s"
"Western Digital SN530",323.03,1024,0.315,"SSD",NA,"M.2-2230","M.2 PCIe 3.0 X4"
"Intel D3-S4520",136.4,480,0.284,"SSD",NA,"M.2-2280","M.2 SATA"
"Fantom Drives VENOM8 PS5",109.45,1000,0.109,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"VisionTek DLX4 Pro",201.45,2000,0.101,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
"Toshiba MG09 512e",264.99,12000,0.022,"7200",512,"3.5","SATA 6.0 Gb/s"
"Titanium Micro PD560",129.99,2000,0.065,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Western Digital RE4-GP",226.43,2000,0.113,"5900",64,"3.5","SATA 3.0 Gb/s"
"Western Digital RE3",60.73,750,0.081,"7200",32,"3.5","SATA 3.0 Gb/s"
"Western Digital RE2-GP",149.94,750,0.2,"7200",16,"3.5","SATA 3.0 Gb/s"
"Western Digital Caviar Green",60,750,0.08,"5400",32,"3.5","SATA 3.0 Gb/s"
"Western Digital Scorpio Blue",152.03,640,0.238,"5400",8,"2.5","SATA 3.0 Gb/s"
"Western Digital Scorpio Blue",70.59,320,0.221,"5400",8,"2.5","SATA 3.0 Gb/s"
"Western Digital AV-GP",25.99,320,0.081,"5400",8,"3.5","SATA 3.0 Gb/s"
"Hitachi 7K1000.C",279.95,750,0.373,"7200",32,"3.5","SATA 3.0 Gb/s"
"Intel X25-M",300,160,1.875,"SSD",NA,"2.5","SATA 3.0 Gb/s"
"Intel 320",193.53,160,1.21,"SSD",NA,"2.5","SATA 3.0 Gb/s"
"Hitachi 0Y30055",135,500,0.27,"5400",8,"2.5","SATA 3.0 Gb/s"
"Seagate Constellation",119.45,160,0.747,"7200",32,"2.5","SATA 3.0 Gb/s"
"Seagate Momentus 7200.4",28.95,160,0.181,"7200",16,"2.5","SATA 3.0 Gb/s"
"Western Digital AV-25",150,500,0.3,"5400",32,"2.5","SATA 3.0 Gb/s"
"Intel 320",204.88,160,1.281,"SSD",NA,"2.5","SATA 3.0 Gb/s"
"Seagate Momentus 5400.6",75.05,500,0.15,"5400",8,"2.5","SATA 3.0 Gb/s"
"Hitachi Travelstar 7K500",105.65,500,0.211,"7200",16,"2.5","SATA 3.0 Gb/s"
"Intel 330",157.88,180,0.877,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"SanDisk Extreme",299.99,480,0.625,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Western Digital AV-25",110,250,0.44,"5400",16,"2.5","SATA 3.0 Gb/s"
"Kingston SSDNow V+200",159.99,120,1.333,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate Momentus XT",187.5,500,0.375,"7200",32,"2.5","SATA 3.0 Gb/s"
"Crucial M4",377.77,256,1.476,"SSD",NA,"mSATA","mSATA"
"Seagate Constellation ES.3",183.75,4000,0.046,"7200",128,"3.5","SAS 6.0 Gb/s"
"Intel DC S3500",142,160,0.887,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Western Digital Blue",91.75,250,0.367,"5400",8,"2.5","SATA 6.0 Gb/s"
"Toshiba MG03SCA",46.2,1000,0.046,"7200",64,"3.5","SAS 6.0 Gb/s"
"Seagate Constellation ES",99.99,1000,0.1,"7200",64,"3.5","SAS 6.0 Gb/s"
"Seagate Constellation ES.2",125,3000,0.042,"7200",64,"3.5","SAS 6.0 Gb/s"
"Seagate Constellation ES",120.13,500,0.24,"7200",64,"3.5","SAS 6.0 Gb/s"
"Kingston KC300",199.99,240,0.833,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Kingston KC300",309.99,480,0.646,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate Constellation Product Series:ES.3",175,4000,0.044,"7200",128,"3.5","SAS 6.0 Gb/s"
"Western Digital WDBMYH5000ANC-NRSN",69.11,500,0.138,"5400",8,"2.5","SATA 3.0 Gb/s"
"Crucial M500",487.77,480,1.016,"SSD",NA,"mSATA","mSATA"
"IBM 43X0805",199,300,0.663,"15000",16,"3.5","SAS 3.0 Gb/s"
"Kingston SSDNow KC300",120.52,180,0.67,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"IBM 90Y8572",403.92,2000,0.202,"7200",NA,"3.5","SAS 6.0 Gb/s"
"Crucial M550",377.77,128,2.951,"SSD",NA,"mSATA","mSATA"
"Seagate 1200 SSD",225,200,1.125,"SSD",NA,"2.5","SAS 12.0 Gb/s"
"Transcend MTS800",139.94,256,0.547,"SSD",NA,"M.2-2280","M.2 SATA"
"Seagate ST320LM010",75.22,320,0.235,"7200",32,"2.5","SATA 6.0 Gb/s"
"Seagate Savvio 15K.3",121.45,300,0.405,"15000",64,"2.5","SAS 6.0 Gb/s"
"Seagate ST2000NM0054",125,2000,0.062,"7200",128,"3.5","SAS 12.0 Gb/s"
"Intel DC P3600",459.74,400,1.149,"SSD",NA,"2.5","U.2"
"Seagate ST2000NX0273",245,2000,0.122,"7200",128,"2.5","SAS 12.0 Gb/s"
"Seagate ST6000NM0104",178,6000,0.03,"7200",128,"3.5","SATA 6.0 Gb/s"
"VisionTek Go Drive",332.29,1000,0.332,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Western Digital Black",67.89,320,0.212,"7200",32,"2.5","SATA 6.0 Gb/s"
"Crucial MX200",327.77,250,1.311,"SSD",NA,"mSATA","mSATA"
"Crucial MX200",377.97,500,0.756,"SSD",NA,"mSATA","mSATA"
"Transcend TS512GMSA370",314.36,512,0.614,"SSD",NA,"mSATA","mSATA"
"VisionTek Go Drive",351.75,480,0.733,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel DC S3710",214.45,200,1.072,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate ST1000NX0333",100.53,1000,0.101,"7200",128,"2.5","SAS 12.0 Gb/s"
"Seagate ST2000NX0343",369.95,2000,0.185,"7200",128,"2.5","SAS 12.0 Gb/s"
"Intel 535",306.1,240,1.275,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel 535",299,360,0.831,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate ST1000NX0373",71.23,1000,0.071,"7200",128,"2.5","SAS 12.0 Gb/s"
"Mushkin Atlas Vital",104.83,250,0.419,"SSD",NA,"M.2-2280","M.2 SATA"
"ADATA XPG SX930",229.27,120,1.911,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Transcend TS512GSSD370S",219.99,512,0.43,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate Enterprise NAS",379,6000,0.063,"7200",128,"3.5","SATA 6.0 Gb/s"
"Intel 540s",239.99,360,0.667,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel 540s",159.99,180,0.889,"SSD",NA,"M.2-2280","M.2 SATA"
"Intel 750",475,1200,0.396,"SSD",NA,"2.5","U.2"
"Intel 750",265,400,0.662,"SSD",NA,"2.5","U.2"
"Intel 750",359.97,800,0.45,"SSD",NA,"2.5","U.2"
"Intel Pro 5400s",170.05,120,1.417,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Seagate Barracuda ES",45,250,0.18,"7200",16,"3.5","SATA 6.0 Gb/s"
"Western Digital Purple",220.3,8000,0.028,"5400",128,"3.5","SATA 6.0 Gb/s"
"Hitachi Ultrastar",225,6000,0.037,"7200",128,"3.5","SAS 12.0 Gb/s"
"Hitachi 0F22941",175,4000,0.044,"7200",128,"3.5","SAS 12.0 Gb/s"
"Hitachi Ultrastar He8",952.56,6000,0.159,"7200",128,"3.5","SAS 12.0 Gb/s"
"Hitachi Ultrastar He8",360.5,6000,0.06,"7200",128,"3.5","SAS 12.0 Gb/s"
"Hitachi 0F27406",129,8000,0.016,"7200",256,"3.5","SAS 12.0 Gb/s"
"VisionTek PRO",131.54,500,0.263,"SSD",NA,"M.2-2280","M.2 SATA"
"VisionTek PRO",228.49,1000,0.228,"SSD",NA,"M.2-2280","M.2 SATA"
"Seagate Enterprise Performance",93.99,300,0.313,"10000",128,"2.5","SAS 12.0 Gb/s"
"Western Digital AV",27,320,0.084,"5400",NA,"2.5","SATA 6.0 Gb/s"
"Seagate Enterprise Capacity",160,4000,0.04,"7200",128,"3.5","SAS 12.0 Gb/s"
"Seagate Enterprise Capacity",199,6000,0.033,"7200",256,"3.5","SAS 12.0 Gb/s"
"Seagate Enterprise Performance",125,600,0.208,"10000",128,"2.5","SAS 12.0 Gb/s"
"Toshiba MG05ACA800E",364.08,8000,0.046,"7200",128,"3.5","SATA 6.0 Gb/s"
"Kingston SSDNOW DC500R",199.99,1920,0.104,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Kingston DC450R",136.44,480,0.284,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"VisionTek PRO XMN",93.99,500,0.188,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"VisionTek PRO XPN",126.82,2000,0.063,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"VisionTek PRO XPN",205.15,1000,0.205,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"VisionTek PRO XPN",108.99,512,0.213,"SSD",NA,"M.2-2280","M.2 PCIe 3.0 X4"
"VisionTek PRO HXS",89.99,500,0.18,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"VisionTek PRO XMN",52.67,250,0.211,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"VisionTek PRO ECS",347.34,2000,0.174,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Centon MP Essential",96.87,480,0.202,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Angelbird AV PRO MK3",399,1000,0.399,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Angelbird AV PRO XT",429.99,500,0.86,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Toshiba MG08",395,14000,0.028,"7200",512,"3.5","SATA 6.0 Gb/s"
"VisionTek PRO",49.99,250,0.2,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Toshiba N300",259,6000,0.043,"7200",256,"3.5","SATA 6.0 Gb/s"
"Seagate Barracuda ES.2",79.98,250,0.32,"7200",32,"3.5","SATA 3.0 Gb/s"
"V7 V7SSD240GBS25U",33.04,240,0.138,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"V7 V7SSD480GBS25U",68.64,480,0.143,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"V7 V7SSD512GBS25U",51.97,512,0.102,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"V7 V7SSD1TBS25U",89.99,1000,0.09,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel D3-S4520",92.69,240,0.386,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel D3-S4520",284,1920,0.148,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel D3-S4610",558.15,3800,0.147,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel D3-S4610",345,1920,0.18,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel D3-S4620",323.44,1920,0.168,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Intel D3-S4620",160.15,480,0.334,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Micron 5210 ION",359,1920,0.187,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"VisionTek DLX4",96.99,1000,0.097,"SSD",NA,"M.2-2230","M.2 PCIe 4.0 X4"
"Transcend 830S",109.99,1000,0.11,"SSD",NA,"M.2-2280","M.2 SATA"
"VisionTek 900981",149.16,1000,0.149,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"VisionTek 900982",288.64,2000,0.144,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"Lenovo S4520",299,480,0.623,"SSD",NA,"2.5","SATA 6.0 Gb/s"
"ADATA XPG GAMMIX S70 Blade",799.99,8000,0.1,"SSD",NA,"M.2-2280","M.2 PCIe 4.0 X4"
